HDR;2306033858;03.10.2024;STORE ZVOLEN - METRO C&C SR;STORE ZVOLEN - METRO C&C SR;ULICA STR¡é 17;960 01;ZVOLEN;SKK;SK2023150701;SK2023150701;SK2023150701;2010730006/0200;0200;0308;23201092;51462036;2120714629;DEILMANN s.r.o.;Medzi Vodami 216/6;965 01;éiar nad Hronom;INVOICE.TOT_INVOICE;0
LIN;30;7622202204227;1;PC;1;1.09;0;1.09;.22;.22;1.31;20;TUC BR MINI BBQ 150g;88018;1.09;1;;A;7.27;7.27;1.09
LIN;31;8586000920729;5;SW;1;2.41;0;2.41;.48;.48;2.89;20;THYMOS KARI 27g 5x;752802;.48;5;8586000920729;;17.85;17.85;.48
LIN;32;8585002500830;1;PC;1;2.49;0;2.49;.25;.25;2.74;10;RAJO MASLO Z LAHOD.SMOT.250g    @;763040;2.49;1;;A;9.96;9.96;2.49
LIN;33;7613035516458;1;PC;1;1.05;0;1.05;.21;.21;1.26;20;ADVENTUROS POCH⁄çKA 90g diviak;82253;1.05;1;;A;11.67;11.67;1.05
LIN;34;4001242108239;1;BX;1;1.65;0;1.65;.33;.33;1.98;20;CHIO DIP HOT CHEESE 200ml;80646;1.65;1;;A;8.25;8.25;1.65
LIN;35;5949040203314;1;BG;1;1.1;0;1.1;.22;.22;1.32;20;DUPETKY 160g HOR»ICA-MED-CIBU;73507;1.1;1;;A;6.88;6.88;1.1
LIN;36;8435409339482;1;PC;1;2.09;0;2.09;.21;.21;2.3;10;CESNAK BIEL› ES 50+ 190g;78588;2.09;1;;;11;11;2.09
LIN;37;4001242108222;1;BG;1;1.65;0;1.65;.33;.33;1.98;20;CHIO DIP SALSA 200g JEMNA;752452;1.65;1;4001242003015;A;8.25;8.25;1.65
LIN;38;4337182041245;1;PC;1;4.55;0;4.55;.91;.91;5.46;20;ARO TILSITER pl 400g;77389;4.55;1;;A;11.38;11.38;4.55
LIN;39;8718951226715;1;PC;1;3.65;0;3.65;.73;.73;4.38;20;COLGATE ZP TOTAL 75ml ORIGINAL;718394;3.65;1;8714789424071;;48.67;48.67;3.65
LIN;40;8410843105152;1;PC;1;3.75;0;3.75;.75;.75;4.5;20;FUETEC IB…RICO 150g;59926;3.75;1;;;25;25;3.75
VAT;0;0;.9
VAT;20;23.11;115.54
VAT;10;1.15;11.49
PAY;5;148.29
PAY;13;3.9
